Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       15     0.00     0.00  std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > const& std::forward<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > const&>(std::remove_reference<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > const&>::type&)
  0.00      0.00     0.00       15     0.00     0.00  std::tuple<>&& std::forward<std::tuple<> >(std::remove_reference<std::tuple<> >::type&)
  0.00      0.00     0.00       15     0.00     0.00  std::tuple<std::shared_ptr<User>&&>&& std::forward<std::tuple<std::shared_ptr<User>&&> >(std::remove_reference<std::tuple<std::shared_ptr<User>&&> >::type&)
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<User> const*, std::vector<std::shared_ptr<User>, std::allocator<std::shared_ptr<User> > > >::base() const
  0.00      0.00     0.00       13     0.00     0.00  __gnu_cxx::new_allocator<Group>::~new_allocator()
  0.00      0.00     0.00       13     0.00     0.00  std::allocator<Group>::~allocator()
  0.00      0.00     0.00       13     0.00     0.00  std::_Vector_base<User, std::allocator<User> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       13     0.00     0.00  void std::_Destroy<User>(User*)
  0.00      0.00     0.00       12     0.00     0.00  void __gnu_cxx::new_allocator<User>::construct<User, User const&>(User*, User const&)
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<Account>::~new_allocator()
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2> >::new_allocator()
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2> >::~new_allocator()
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::new_allocator<User>::max_size() const
  0.00      0.00     0.00       12     0.00     0.00  __gnu_cxx::__normal_iterator<std::shared_ptr<User>*, std::vector<std::shared_ptr<User>, std::allocator<std::shared_ptr<User> > > >::base() const
  0.00      0.00     0.00       12     0.00     0.00  std::_Select1st<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > >::operator()(std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > const&) const
  0.00      0.00     0.00       12     0.00     0.00  std::move_iterator<std::shared_ptr<Group>*>::base() const
  0.00      0.00     0.00       12     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_get_deleter(std::type_info const&) const
  0.00      0.00     0.00       12     0.00     0.00  std::type_info::operator==(std::type_info const&) const
  0.00      0.00     0.00       12     0.00     0.00  std::allocator<Account>::~allocator()
  0.00      0.00     0.00       12     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2> >::allocator<User>(std::allocator<User> const&)
  0.00      0.00     0.00       12     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2> >::~allocator()
  0.00      0.00     0.00       12     0.00     0.00  std::shared_ptr<Group>::~shared_ptr()
  0.00      0.00     0.00       12     0.00     0.00  std::__shared_ptr<Group, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.00     0.00       12     0.00     0.00  std::__shared_ptr<Account, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.00     0.00       12     0.00     0.00  std::move_iterator<std::shared_ptr<User>*>::move_iterator(std::shared_ptr<User>*)
  0.00      0.00     0.00       12     0.00     0.00  std::move_iterator<std::shared_ptr<Group>*>::move_iterator(std::shared_ptr<Group>*)
  0.00      0.00     0.00       12     0.00     0.00  std::_Sp_ebo_helper<0, std::allocator<User>, true>::_S_get(std::_Sp_ebo_helper<0, std::allocator<User>, true>&)
  0.00      0.00     0.00       12     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2> > >::__allocated_ptr(std::allocator<std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2> >&, std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2>*)
  0.00      0.00     0.00       12     0.00     0.00  std::__allocated_ptr<std::allocator<std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2> > >::~__allocated_ptr()
  0.00      0.00     0.00       12     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::_Sp_counted_base()
  0.00      0.00     0.00       12     0.00     0.00  std::_Sp_counted_base<(__gnu_cxx::_Lock_policy)2>::~_Sp_counted_base()
  0.00      0.00     0.00       12     0.00     0.00  void std::allocator_traits<std::allocator<User> >::construct<User, User const&>(std::allocator<User>&, User*, User const&)
  0.00      0.00     0.00       12     0.00     0.00  std::_Sp_counted_ptr_inplace<User, std::allocator<User>, (__gnu_cxx::_Lock_policy)2>::_Impl::_M_alloc()
  0.00      0.00     0.00       12     0.00     0.00  std::_Rb_tree<std::shared_ptr<User>, std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> >, std::_Select1st<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > >, std::less<std::shared_ptr<User> >, std::allocator<std::pair<std::shared_ptr<User> const, std::shared_ptr<Account> > > >::_M_end()
